partition,key_value,codunicocli,grp_campecs06m,prob_value_contact,monto,probabilidad_modelo,prediccion_umbral_050,frescura,puntuacion_tlv,grupo_ejec,orden
p10,B4029A086FA4613345D3E3BB96168091DC56751ED8B33FBFD850BE3635527281,9006914,G1,0.5701375950885622,58200,0.22119891614725803,0,0.066,0.09132272542124253,1,89
p10,25CB33D2056947D85E0F548FFD8A1EFF0443F17E05E08DA555F7AC05530764F3,15083272,G1,0.3910754530205522,22500,0.3522971194719783,0,0.066,0.09112515912913965,1,90
p10,112ED91A6C0C2BB5DB6475920D9D64F95E666787E12CD13C8D24CCC295A14B26,12717594,G1,0.5381662568400458,25400,0.2527249011568666,0,0.066,0.09104483802799487,1,91
p10,A542447A728409461D74B51B8DB71A401D9BAFE325DD4A6B4295DDADF2EEE22F,9274605,G1,0.4206471763826688,20200,0.3286357644396696,0,0.066,0.09044888064276758,1,92
p10,AE8F030CC8F8924F1EEE6C7B322D0DAA5D7A3CA4D15C3322593C43EA5D738BA0,15459628,G1,0.3727894042822709,25000,0.3622995016445526,0,0.066,0.09026968713611228,1,93
p10,AD17963F6EF472ED8A155BA644FA5DDD786B23BB622F97276D34E4107A720986,11787003,G1,0.5569940276123344,15000,0.25364338395168096,0,0.066,0.08966164300479537,1,94
p10,ADF782E6A1B8D2D2FC11F8B5EA50A3ABB00CAA76CB4DF1618A85AFCB2D962C95,16361022,G1,0.4441780871937579,8500,0.337389648997496,0,0.066,0.08949164423096738,1,95
p10,7908F0E49DA3C04D3B4884A2745A74771EB8C705D3FB365A09DF37189AA7C256,13376873,G1,0.3361577139348018,26500,0.3960012422476006,0,0.066,0.08948329021076548,1,96
p10,51B5766F3E16DCD5435706D9E69C7125D728BF0855B5722EE32CC22753E54E41,16418759,G1,0.5751361571974514,19500,0.23858800753551382,0,0.066,0.08946269081228393,1,97
p10,E45EAD8813F3469116B279849A1FD59CB90211969BD9A2A2A39A784834DCDF45,9321097,G1,0.5020714624951005,21800,0.2699561517807811,0,0.066,0.08936256598074621,1,98
p10,7FC453C324036ADFDA4E994912B8EC68F03891CFF79451013C9F928788D5B5A2,15073545,G1,0.3518580870371732,10400,0.413396063464426,0,0.066,0.08879805410236816,1,99
p10,21C48566B307E0159C76244170C4E37C9BE160297160B16AD506CFBA5B785866,13818454,G1,0.4206952643392351,15000,0.3314325413002942,0,0.066,0.08849024262887141,1,100
